economy,year,social_foundation_score,ecological_ceiling_score,social_dimension_coverage,ecological_dimension_coverage,doughnut_score,green_transition_actions_score,green_expected_2030_path,green_distance_to_target
Switzerland,1985,,99.95403789200725,,0.16666666666666666,0.045962107992750134,99.95403789200725,94.99896953624736,4.955068355759892
Switzerland,1986,,99.9550142722361,,0.16666666666666666,0.044985727763901195,99.9550142722361,94.66565910210853,5.289355170127564
Switzerland,1987,,99.97205663643372,,0.16666666666666666,0.0279433635662798,99.97205663643372,94.3323486679697,5.639707968464023
Switzerland,1988,,99.97250440141622,,0.16666666666666666,0.027495598583783476,99.97250440141622,93.99903823383087,5.973466167585343
Switzerland,1989,,99.97450318849118,,0.16666666666666666,0.02549681150881611,99.97450318849118,93.66572779969204,6.308775388799148
Switzerland,1990,,99.88731019926492,,0.16666666666666666,0.11268980073508317,99.88731019926492,93.33241736555321,6.554892833711705
Switzerland,1991,,99.87804373362395,,0.16666666666666666,0.12195626637604562,99.87804373362395,92.99910693141437,6.87893680220958
Switzerland,1992,,99.88194658201192,,0.16666666666666666,0.11805341798807945,99.88194658201192,92.66579649727555,7.21615008473637
Switzerland,1993,,99.90597902195707,,0.16666666666666666,0.09402097804293419,99.90597902195707,92.33248606313671,7.573492958820353
Switzerland,1994,,99.91597814327723,,0.16666666666666666,0.08402185672277085,99.91597814327723,91.99917562899789,7.91680251427934
Switzerland,1995,,99.91023600386069,,0.16666666666666666,0.08976399613931108,99.91023600386069,91.66586519485905,8.244370809001637
Switzerland,1996,,99.91067723603328,,0.16666666666666666,0.08932276396672023,99.91067723603328,91.33255476072023,8.578122475313052
Switzerland,1997,,99.92476210254672,,0.16666666666666666,0.07523789745327747,99.92476210254672,90.99924432658139,8.925517775965332
Switzerland,1998,,99.9167625433563,,0.16666666666666666,0.08323745664370108,99.9167625433563,90.66593389244257,9.250828650913732
Switzerland,1999,,99.91868186911636,,0.16666666666666666,0.08131813088364481,99.91868186911636,90.33262345830374,9.586058410812612
Switzerland,2000,,99.91334393315626,,0.16666666666666666,0.08665606684374438,99.91334393315626,89.9993130241649,9.91403090899135
Switzerland,2001,,99.91321317662207,,0.16666666666666666,0.08678682337793475,99.91321317662207,89.66600259002607,10.247210586595997
Switzerland,2002,,99.9298342394382,,0.16666666666666666,0.07016576056180668,99.9298342394382,89.33269215588724,10.597142083550949
