economy,year,dpi_score,yoy_change,yoy_pct_change,trend_slope
Saudi Arabia,2022,99.40464980962513,57.917383288321474,139.60279416958207,10.794328540560716
Saudi Arabia,2025,100.00000000000004,0.5953501903749157,0.5989158369503851,10.794328540560716
Singapore,2014,27.99272040463188,,,4.688943564525946
Singapore,2015,27.582973355635463,-0.40974704899641523,-1.4637628750388103,4.688943564525946
Singapore,2016,29.01474244391341,1.431769088277946,5.1907713857303275,4.688943564525946
Singapore,2017,33.358873768569175,4.344131324655766,14.972151943285853,4.688943564525946
Singapore,2018,40.51906933768653,7.160195569117356,21.464140602563482,4.688943564525946
Singapore,2019,43.80070138458359,3.281632046897059,8.098981789408558,4.688943564525946
Singapore,2020,67.0309393516603,23.230237967076704,53.036223696757936,4.688943564525946
Singapore,2021,39.55090659789624,-27.480032753764057,-40.99604305050426,4.688943564525946
Singapore,2022,57.010882372904454,17.459975775008218,44.14557661729285,4.688943564525946
Singapore,2023,60.33478856583221,3.3239061929277582,5.830301259303979,4.688943564525946
Singapore,2024,60.30978014557377,-0.02500842025844463,-0.041449420562993375,4.688943564525946
Singapore,2025,90.59912792482703,30.289347779253262,50.22294511129344,4.688943564525946
South Africa,2014,2.9813285263431206,,,0.9254368767667572
South Africa,2015,3.1381209683465103,0.1567924420033897,5.2591467400511664,0.9254368767667572
South Africa,2016,2.1728739310744323,-0.9652470372720781,-30.75875809149164,0.9254368767667572
South Africa,2017,3.263488576617015,1.090614645542583,50.19226518140889,0.9254368767667572
South Africa,2018,3.3156466581414366,0.05215808152442136,1.5982308593979904,0.9254368767667572
South Africa,2019,3.180486380196993,-0.1351602779444434,-4.076437928407202,0.9254368767667572
South Africa,2020,32.64248852564449,29.462002145447496,926.3363719741092,0.9254368767667572
South Africa,2021,2.117818522407378,-30.52467000323711,-93.51208005865243,0.9254368767667572
South Africa,2022,7.628420336628282,5.5106018142209034,260.20179519238803,0.9254368767667572
South Africa,2023,3.484628614283506,-4.143791722344776,-54.32044302079333,0.9254368767667572
South Africa,2024,4.126020928831789,0.6413923145482827,18.406332081393497,0.9254368767667572
South Africa,2025,21.063909234538862,16.937888305707073,410.5138727568874,0.9254368767667572
Spain,2014,22.50833229863609,,,3.5265242475105962
Spain,2015,20.32774957501277,-2.1805827236233206,-9.687891109353556,3.5265242475105962
Spain,2016,23.73786027378338,3.410110698770609,16.77564300065157,3.5265242475105962
Spain,2017,31.414348761260523,7.676488487477144,32.33858654040199,3.5265242475105962
Spain,2018,33.75698869889838,2.342639937637859,7.4572290370913255,3.5265242475105962
Spain,2019,34.0412943692874,0.284305670389017,0.8422127723682147,3.5265242475105962
Spain,2020,56.08829903128633,22.047004661998933,64.7654710858765,3.5265242475105962
Spain,2021,26.772796523075478,-29.315502508210855,-52.266699141399386,3.5265242475105962
Spain,2022,63.76059623768307,36.98779971460759,138.15441238171664,3.5265242475105962
Spain,2023,34.06644896908551,-29.694147268597554,-46.571313665112896,3.5265242475105962
Spain,2024,33.15451998958321,-0.9119289795023064,-2.6769123495374,3.5265242475105962
Spain,2025,82.32826090528488,49.17374091570167,148.3168537235693,3.5265242475105962
Sweden,2014,19.742787087160906,,,2.418110302578129
Sweden,2015,19.239390174623477,-0.5033969125374291,-2.5497763325665264,2.418110302578129
Sweden,2016,20.33918982427321,1.0997996496497322,5.716395580460521,2.418110302578129
Sweden,2017,20.23999857455129,-0.09919124972191895,-0.48768535314785283,2.418110302578129
Sweden,2018,19.370801324688724,-0.869197249862566,-4.294453117973283,2.418110302578129
Sweden,2019,21.00431388980679,1.6335125651180675,8.432860044029784,2.418110302578129
Sweden,2020,54.824651753287675,33.82033786348089,161.01615144826795,2.418110302578129
Sweden,2021,25.806320162626175,-29.0183315906615,-52.92934959485876,2.418110302578129
Sweden,2022,38.64641634607709,12.840096183450914,49.75562615101744,2.418110302578129
Sweden,2023,23.903685637260203,-14.742730708816886,-38.14773037892137,2.418110302578129
Sweden,2024,26.67487771742555,2.7711920801653456,11.59315815233828,2.418110302578129
Sweden,2025,61.06548751682348,34.390609799397936,128.9250888559164,2.418110302578129
Switzerland,1970,99.99862604832978,,,-0.4979410021400384
Switzerland,1971,99.97759458266687,-0.02103146566291514,-0.02103175462905914,-0.4979410021400384
Switzerland,1972,99.97005726315301,-0.007537319513858165,-0.0075390086602112666,-0.4979410021400384
Switzerland,1973,99.93108504103168,-0.038972222121330446,-0.03898389496641294,-0.4979410021400384
Switzerland,1974,99.9813761942752,0.050291153243520625,0.05032583527224896,-0.4979410021400384
Switzerland,1975,100.00000000000004,0.018623805724843123,0.01862727483231972,-0.4979410021400384
